Título,Preço Original,Desconto,Disponibilidade,Pré-venda,Link
Blue Period Vol. 13,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/blue-period-vol-13
As Memórias De Vanitas 04,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/as-memorias-de-vanitas-04
Sasaki E Miyano Vol. 5,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/sasaki-e-miyano-vol-5
Missão: Família Yozakura Vol. 13,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-13
Sono Bisque Doll: Minha Adorável Cosplayer 03,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/sono-bisque-doll-minha-adoravel-cosplayer-03
Confusões Do Primeiro Amor 05,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/confusoes-do-primeiro-amor-05
Namorada De Aluguel Vol. 25,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/namorada-de-aluguel-vol-25
Mashle: Magia E Músculos Vol. 8,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/mashle-magia-e-musculos-vol-8
Mushoku Tensei: Uma Segunda Chance Vol. 13,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/mushoku-tensei-uma-segunda-chance-vol-13
Mononogatari: Espíritos Possessores 02,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/mononogatari-espiritos-possessores-02
Love Stage!! 01,"R$ 79,90","R$ 51,94",Disponível,Não,https://panini.com.br/love-stage-01
Komi Não Consegue Se Comunicar Vol. 16,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-16
O Paraíso Ilusório Vol. 5,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/o-paraiso-ilusorio-vol-5
Kemono Jihen - Incidentes Sobrenaturais Vol. 9,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/kemono-jihen-incidentes-sobrenaturais-vol-9
Insones - Caçando Estrelas Depois Da Aula 02,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/insones-cacando-estrelas-depois-da-aula-02
Kanojo Mo Kanojo - Confissões E Namoradas Vol. 11,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/kanojo-mo-kanojo-confissoes-e-namoradas-vol-11
O Incidente De Darwin 02,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/o-incidente-de-darwin-02
Tanya The Evil: Crônicas De Guerra Vol. 25,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-25
Re:zero Capítulo 4: O Santuário E A Bruxa Da Ganância Vol. 6,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/rezero-capitulo-4-o-santuario-e-a-bruxa-da-ganancia-vol-6
Mushoku Tensei: Uma Segunda Chance Vol. 12,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/mushoku-tensei-uma-segunda-chance-vol-12
Undead Unluck Vol. 6,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/undead-unluck-vol-6
The Killer Inside Vol. 9,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/the-killer-inside-vol-9
Namorada De Aluguel Vol. 24,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/namorada-de-aluguel-vol-24
Missão: Família Yozakura Vol. 12,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-12
Canções Da Noite Vol. 2,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/cancoes-da-noite-vol-2
Bakemonogatari Vol. 18,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/bakemonogatari-vol-18
As Memórias De Vanitas 03,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/as-memorias-de-vanitas-03
Mononogatari: Espíritos Possessores 01,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/mononogatari-espiritos-possessores-01
Dorohedoro Vol. 22,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/dorohedoro-vol-22
Komi Não Consegue Se Comunicar Vol. 15,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-15
Donzelas à Flor Da Pele Vol. 8,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/donzelas-a-flor-da-pele-vol-8
Konosuba: Abençoado Mundo Maravilhoso! Vol. 15,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/konosuba-abencoado-mundo-maravilhoso-vol-15
Kaguya Sama - Love Is War Vol. 28,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/kaguya-sama-love-is-war-vol-28
Confusões Do Primeiro Amor 04,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/confusoes-do-primeiro-amor-04
Ataque Dos Titãs: Answers,"R$ 43,90","R$ 28,54",Disponível,Não,https://panini.com.br/ataque-dos-titas-answers
Kemono Jihen - Incidentes Sobrenaturais Vol. 8,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/kemono-jihen-incidentes-sobrenaturais-vol-8
Insones - Caçando Estrelas Depois Da Aula 01,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/insones-cacando-estrelas-depois-da-aula-01
Bleach Remix Vol. 11,"R$ 59,90","R$ 38,94",Avise-me,Não,https://panini.com.br/bleach-remix-vol-11
Dragon Ball Vol. 4,"R$ 34,90","R$ 19,20",Disponível,Não,https://panini.com.br/dragon-ball-vol-4-amadr004r3
Missão: Família Yozakura Vol. 11,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-11
As Memórias De Vanitas 02,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/as-memorias-de-vanitas-02
Sword Art Online Progressive Vol. 7,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/sword-art-online-progressive-vol-7
Rooster Fighter - O Galo Lutador Vol. 4,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/rooster-fighter-o-galo-lutador-vol-4
